en-m-fn,lv-m-fn-nom,lv-m-fn-voc,en-f-fn,lv-f-fn-nomvoc,en-ln,lv-m-ln-nom,lv-m-ln-voc,lv-f-ln-nomvoc
Alan,Alans,Alan,Ada,Ada,Balodis,Balodis,Balodi,Balode
Andreas,Andreas,Andreas,Ana,Ana,Bean,Bīns,Bīn,Bīna
Billy,Bilijs,Bilij,Barbara,Barbara,Boyd,Bojds,Bojd,Bojda
Charlie,Čārlijs,Čārlij,Bella,Bella,Cook,Kuks,Kuk,Kuka
Christer,Kristers,Krister,Carol,Kerola,Doe,Dou,Dou,Dou
David,Deivids,Deivid,Charlie,Čārlija,Griffin,Grifins,Grifin,Grifina
Edgar,Edgars,Edgar,Grace,Greisa,Jones,Džounss,Džoun,Džounsa
Greg,Gregs,Greg,Jane,Džeina,Klein,Kleins,Klein,Kleina
Gregory,Gregorijs,Gregorij,Julia,Jūlija,Lee,Lī,Lī,Lī
Ismail,Izmails,Izmails,Kim,Kima,Lou,Lū,Lū,Lū
Yu,Ju,Ju,Maria,Marija,Lu,Lu,Lu,Lu
Yuriy,Jurijs,Jurij,Matilda,Matilde,MacDonald,Makdonalds,Makdonald,Makdonalda
James,Džeims,Džeims,Miley,Mailija,Mamatov,Mamatovs,Mamatov,Mamatova
Jeff,Džefs,Džef,Min,Mina,Nair,Nērs,Nēr,Nēra
John,Džons,Džon,Natasha,Nataša,Nash,Nešs,Neš,Neša
Jose,Hosē,Hosē,Olga,Olga,Nemchuk,Nemčuks,Nemčuk,Nemčuka
Juan,Huans,Huan,Olha,Olha,Roizman,Roizmens,Roizmen,Roizmena
Juris,Juris,Juri,Rachel,Reičela,Rossmann,Rosmens,Rosmen,Rosmena
Lee,Lī,Lī,Samantha,Samanta,Rowland,Roulends,Roulend,Roulenda
Lei,Lei,Lei,Svetlana,Svetlana,Scott,Skots,Skot,Skota
Li,Li,Li,Tamara,Tamāra,Shen,Šens,Šen,Šena
Linus,Līnuss,Līnus,Wendy,Vendija,Sheridan,Šeridans,Šeridan,Šeridana
Louis,Luis,Luis,,,Simpson,Simsons,Simson,Simsone
Michael,Maikls,Maikl,,,Smith,Smits,Smit,Smita
Mikhail,Mihails,Mihail,,,Wu,Vu,Vu,Vu
Miller,Millers,Miller,,,,,,
Min,Mins,Min,,,,,,
Muhammad,Muhamads,Muhamad,,,,,,
Peter,Pēteris,Pēter,,,,,,
Richard,Ričards,Ričard,,,,,,
Ross,Ross,Ros,,,,,,
Sergey,Sergejs,Sergej,,,,,,
Serhiy,Serhijs,Serhij,,,,,,
Steve,Stīvs,Stīv,,,,,,
Tim,Tims,Tim,,,,,,
Tom,Toms,Tom,,,,,,
Vasily,Vasilijs,Vasilij,,,,,,
Wei,Vei,Vei,,,,,,
Will,Vils,Vil,,,,,,
William,Viljams,Viljam,,,,,,
